barrier_type,iterations,threads,time_init,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,user
pthread,10000,2,0.000010,0.000086,0.122537,0.000000,0.000000,0.122635,phoebus
cond_var,10000,2,0.000009,0.000055,0.089633,0.000000,0.000000,0.089697,phoebus
sense_reversal,10000,2,0.000010,0.000055,0.009524,0.000000,0.000000,0.009589,phoebus
pthread,10000,4,0.000010,0.000108,0.187283,0.000000,0.000000,0.187402,phoebus
cond_var,10000,4,0.000009,0.000103,0.183752,0.000000,0.000000,0.183864,phoebus
sense_reversal,10000,4,0.000011,0.000131,0.071190,0.000000,0.000001,0.071333,phoebus
pthread,10000,8,0.000009,0.000357,0.225346,0.000001,0.000000,0.225713,phoebus
cond_var,10000,8,0.000009,0.000215,0.341174,0.000000,0.000000,0.341398,phoebus
sense_reversal,10000,8,0.000011,0.000268,0.631643,0.000000,0.000000,0.631922,phoebus
pthread,50000,2,0.000009,0.000058,0.505110,0.000000,0.000000,0.505177,phoebus
cond_var,50000,2,0.000009,0.000059,0.617166,0.000000,0.000001,0.617235,phoebus
sense_reversal,50000,2,0.000010,0.000095,0.038979,0.000000,0.000000,0.039084,phoebus
pthread,50000,4,0.000009,0.000108,0.760871,0.000000,0.000000,0.760989,phoebus
cond_var,50000,4,0.000010,0.000104,0.706463,0.000000,0.000000,0.706577,phoebus
sense_reversal,50000,4,0.000009,0.000152,0.316181,0.000000,0.000000,0.316342,phoebus
pthread,50000,8,0.000008,0.000209,1.227398,0.000000,0.000000,1.227615,phoebus
cond_var,50000,8,0.000010,0.000201,1.510479,0.000000,0.000000,1.510690,phoebus
sense_reversal,50000,8,0.000010,0.000228,3.103538,0.000000,0.000000,3.103776,phoebus
pthread,100000,2,0.000009,0.000057,0.613473,0.000000,0.000000,0.613539,phoebus
cond_var,100000,2,0.000010,0.000055,0.973552,0.000000,0.000000,0.973617,phoebus
sense_reversal,100000,2,0.000010,0.000057,0.104000,0.000000,0.000000,0.104067,phoebus
pthread,100000,4,0.000010,0.000107,1.429906,0.000000,0.000000,1.430024,phoebus
cond_var,100000,4,0.000011,0.000128,1.705384,0.000000,0.000001,1.705524,phoebus
sense_reversal,100000,4,0.000011,0.000163,0.760760,0.000000,0.000001,0.760936,phoebus
pthread,100000,8,0.000010,0.000329,2.942099,0.000000,0.000000,2.942438,phoebus
cond_var,100000,8,0.000010,0.000192,3.640918,0.000000,0.000000,3.641120,phoebus
sense_reversal,100000,8,0.000010,0.000259,9.824708,0.000000,0.000000,9.824977,phoebus
pthread,10000,2,0.000010,0.000069,0.108120,0.000000,0.000000,0.108199,phoebus
cond_var,10000,2,0.000014,0.000069,0.112713,0.000000,0.000000,0.112796,phoebus
sense_reversal,10000,2,0.000011,0.000057,0.009485,0.000000,0.000000,0.009553,phoebus
pthread,10000,4,0.000011,0.000113,0.157913,0.000000,0.000000,0.158037,phoebus
cond_var,10000,4,0.000014,0.000209,0.172442,0.000001,0.000000,0.172667,phoebus
sense_reversal,10000,4,0.000014,0.000107,0.086521,0.000000,0.000000,0.086642,phoebus
pthread,10000,8,0.000011,0.000193,0.270688,0.000000,0.000000,0.270892,phoebus
cond_var,10000,8,0.000011,0.000213,0.370586,0.000000,0.000001,0.370811,phoebus
sense_reversal,10000,8,0.000009,0.000224,0.719667,0.000000,0.000000,0.719900,phoebus
pthread,50000,2,0.000017,0.000087,0.528663,0.000000,0.000000,0.528768,phoebus
cond_var,50000,2,0.000009,0.000059,0.627898,0.000000,0.000000,0.627966,phoebus
sense_reversal,50000,2,0.000009,0.000063,0.044624,0.000000,0.000001,0.044697,phoebus
pthread,50000,4,0.000009,0.000115,0.700358,0.000000,0.000000,0.700482,phoebus
cond_var,50000,4,0.000010,0.000103,0.736963,0.000000,0.000001,0.737077,phoebus
sense_reversal,50000,4,0.000009,0.000102,0.351384,0.000001,0.000000,0.351496,phoebus
pthread,50000,8,0.000053,0.000328,1.123365,0.000000,0.000000,1.123746,phoebus
cond_var,50000,8,0.000010,0.000258,1.545218,0.000000,0.000000,1.545486,phoebus
sense_reversal,50000,8,0.000010,0.000350,3.210568,0.000001,0.000000,3.210929,phoebus
pthread,100000,2,0.000009,0.000059,1.044808,0.000000,0.000000,1.044877,phoebus
cond_var,100000,2,0.000010,0.000055,1.133293,0.000000,0.000000,1.133358,phoebus
sense_reversal,100000,2,0.000010,0.000105,0.116442,0.000000,0.000000,0.116557,phoebus
pthread,100000,4,0.000010,0.000152,1.518583,0.000000,0.000000,1.518746,phoebus
cond_var,100000,4,0.000011,0.000145,1.569693,0.000000,0.000001,1.569850,phoebus
sense_reversal,100000,4,0.000009,0.000133,0.597260,0.000001,0.000000,0.597403,phoebus
pthread,100000,8,0.000020,0.000223,2.262174,0.000000,0.000000,2.262417,phoebus
cond_var,100000,8,0.000010,0.000192,3.273397,0.000000,0.000000,3.273599,phoebus
sense_reversal,100000,8,0.000056,0.000229,6.462162,0.000000,0.000000,6.462447,phoebus
pthread,10000,2,0.000008,0.000056,0.106751,0.000000,0.000000,0.106816,phoebus
cond_var,10000,2,0.000009,0.000056,0.106177,0.000000,0.000001,0.106243,phoebus
sense_reversal,10000,2,0.000010,0.000076,0.007941,0.000000,0.000000,0.008027,phoebus
pthread,10000,4,0.000011,0.000142,0.153071,0.000000,0.000000,0.153225,phoebus
cond_var,10000,4,0.000010,0.000153,0.154128,0.000000,0.000000,0.154291,phoebus
sense_reversal,10000,4,0.000011,0.000107,0.081674,0.000000,0.000001,0.081793,phoebus
pthread,10000,8,0.000011,0.000207,0.277893,0.000000,0.000000,0.278112,phoebus
cond_var,10000,8,0.000009,0.000244,0.356458,0.000000,0.000000,0.356711,phoebus
sense_reversal,10000,8,0.000009,0.000305,0.830911,0.000000,0.000000,0.831225,phoebus
pthread,50000,2,0.000011,0.000091,0.523828,0.000001,0.000000,0.523931,phoebus
cond_var,50000,2,0.000010,0.000060,0.455562,0.000000,0.000001,0.455633,phoebus
sense_reversal,50000,2,0.000009,0.000075,0.047100,0.000000,0.000000,0.047184,phoebus
pthread,50000,4,0.000010,0.000160,0.832270,0.000000,0.000000,0.832441,phoebus
cond_var,50000,4,0.000009,0.000149,0.779441,0.000000,0.000000,0.779599,phoebus
sense_reversal,50000,4,0.000010,0.000105,0.263628,0.000000,0.000000,0.263743,phoebus
pthread,50000,8,0.000009,0.000188,1.321143,0.000000,0.000000,1.321341,phoebus
cond_var,50000,8,0.000010,0.000184,1.752967,0.000000,0.000000,1.753161,phoebus
sense_reversal,50000,8,0.000010,0.000232,3.340123,0.000000,0.000000,3.340365,phoebus
pthread,100000,2,0.000011,0.000056,1.053222,0.000000,0.000000,1.053289,phoebus
cond_var,100000,2,0.000009,0.000061,0.936677,0.000000,0.000000,0.936747,phoebus
sense_reversal,100000,2,0.000010,0.000055,0.092767,0.000000,0.000001,0.092833,phoebus
pthread,100000,4,0.000009,0.000105,1.440292,0.000000,0.000000,1.440407,phoebus
cond_var,100000,4,0.000013,0.000155,1.541191,0.000001,0.000000,1.541360,phoebus
sense_reversal,100000,4,0.000009,0.000166,0.630127,0.000000,0.000001,0.630303,phoebus
pthread,100000,8,0.000009,0.000248,2.441583,0.000001,0.000000,2.441841,phoebus
cond_var,100000,8,0.000010,0.000222,3.117072,0.000000,0.000000,3.117304,phoebus
sense_reversal,100000,8,0.000010,0.000248,6.747356,0.000000,0.000000,6.747614,phoebus
pthread,10000,2,0.000012,0.000054,0.131398,0.000000,0.000000,0.131465,phoebus
cond_var,10000,2,0.000009,0.000085,0.105510,0.000000,0.000001,0.105605,phoebus
sense_reversal,10000,2,0.000009,0.000057,0.012346,0.000000,0.000000,0.012412,phoebus
