degree,threads,time_alloc,time_init,time_seq_baseline,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,user
5000,sequential,0.000022,0.001611,0.012571,0.0,0.0,0.0,0.000001,0.014205,marr
5000,1,0.000030,0.000271,0.000000,0.000058,0.010114,0.000006,0.000001,0.010481,marr
5000,2,0.000031,0.000121,0.000000,0.000102,0.003396,0.000010,0.000000,0.003660,marr
5000,4,0.000055,0.000122,0.000000,0.000238,0.006157,0.000024,0.000001,0.006597,marr
5000,8,0.000083,0.000144,0.000000,0.000476,0.006392,0.000035,0.000001,0.007131,marr
5000,16,0.000199,0.000144,0.000000,0.017111,0.007773,0.000317,0.000001,0.025545,marr
20000,sequential,0.000012,0.000499,0.129107,0.0,0.0,0.0,0.000027,0.129645,marr
20000,1,0.000011,0.000465,0.000000,0.002566,0.110786,0.000069,0.000027,0.113924,marr
20000,2,0.000016,0.000635,0.000000,0.000252,0.055074,0.000086,0.000022,0.056085,marr
20000,4,0.000018,0.000465,0.000000,0.000201,0.045242,0.000149,0.000036,0.046111,marr
20000,8,0.000023,0.001291,0.000000,0.008711,0.029016,0.000373,0.000032,0.039447,marr
20000,16,0.000153,0.000633,0.000000,0.000435,0.039109,0.000597,0.000054,0.040981,marr
80000,sequential,0.000011,0.002403,2.160034,0.0,0.0,0.0,0.000083,2.162531,marr
80000,1,0.000013,0.002347,0.000000,0.000058,1.626583,0.000259,0.000092,1.629352,marr
80000,2,0.000018,0.002461,0.000000,0.000095,0.852511,0.000434,0.000096,0.855616,marr
80000,4,0.000020,0.002599,0.000000,0.000230,0.712937,0.000627,0.000416,0.716830,marr
80000,8,0.000098,0.002072,0.000000,0.000762,0.398201,0.001076,0.000113,0.402323,marr
80000,16,0.000273,0.004883,0.000000,0.013471,0.351754,0.001943,0.000157,0.372481,marr
100000,sequential,0.000014,0.003154,3.361618,0.0,0.0,0.0,0.000114,3.364900,marr
100000,1,0.000014,0.002421,0.000000,0.000690,2.627017,0.000315,0.000132,2.630589,marr
100000,2,0.000016,0.002421,0.000000,0.000118,1.373053,0.000438,0.000231,1.376278,marr
100000,4,0.000019,0.002483,0.000000,0.000183,1.001608,0.000725,0.000331,1.005350,marr
100000,8,0.000023,0.002570,0.000000,0.096408,0.563365,0.001257,0.000144,0.663768,marr
100000,16,0.000038,0.002844,0.000000,0.003847,0.498066,0.002386,0.000167,0.507348,marr
5000,sequential,0.000016,0.000199,0.007669,0.0,0.0,0.0,0.000000,0.007884,marr
5000,1,0.000110,0.000122,0.000000,0.000055,0.008657,0.000004,0.000001,0.008950,marr
5000,2,0.000111,0.000131,0.000000,0.000165,0.005836,0.000008,0.000000,0.006251,marr
5000,4,0.000048,0.000119,0.000000,0.000172,0.005035,0.000022,0.000000,0.005396,marr
5000,8,0.000286,0.000276,0.000000,0.000922,0.002267,0.000037,0.000001,0.003790,marr
5000,16,0.000155,0.000202,0.000000,0.000752,0.009830,0.000081,0.000001,0.011021,marr
20000,sequential,0.000010,0.000481,0.141330,0.0,0.0,0.0,0.000032,0.141853,marr
20000,1,0.000019,0.000579,0.000000,0.000053,0.104534,0.000057,0.000022,0.105265,marr
20000,2,0.000013,0.000597,0.000000,0.000194,0.050259,0.000081,0.000025,0.051169,marr
20000,4,0.000214,0.000479,0.000000,0.000163,0.044449,0.000147,0.000043,0.045495,marr
20000,8,0.000183,0.000469,0.000000,0.003071,0.035912,0.000338,0.000052,0.040025,marr
20000,16,0.000037,0.000505,0.000000,0.002889,0.038778,0.000495,0.000063,0.042767,marr
80000,sequential,0.000013,0.001983,2.113933,0.0,0.0,0.0,0.000090,2.116019,marr
80000,1,0.000013,0.005147,0.000000,0.003075,1.672389,0.000266,0.000097,1.680988,marr
80000,2,0.000019,0.002115,0.000000,0.000098,0.902778,0.000612,0.000093,0.905716,marr
80000,4,0.000021,0.002115,0.000000,0.000166,0.669802,0.000561,0.000306,0.672972,marr
80000,8,0.000025,0.001902,0.000000,0.051996,0.363902,0.000968,0.000109,0.418902,marr
80000,16,0.000037,0.002099,0.000000,0.014164,0.398823,0.001857,0.000140,0.417121,marr
100000,sequential,0.000011,0.004915,3.502276,0.0,0.0,0.0,0.000108,3.507310,marr
100000,1,0.000017,0.002322,0.000000,0.000071,2.607942,0.000295,0.000121,2.610768,marr
100000,2,0.000018,0.014852,0.000000,0.000097,1.376061,0.000582,0.000267,1.391878,marr
100000,4,0.000019,0.002332,0.000000,0.000233,1.078861,0.000737,0.000355,1.082537,marr
100000,8,0.000034,0.002817,0.000000,0.000298,0.651203,0.001406,0.000230,0.655989,marr
