locking_scheme,accounts,query_pct,num_threads,total_transactions,time_alloc,time_init,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,user
sequential,100,0.1,1,20000,0.000008,0.000003,0.0,0.001023,0.0,0.0,0.001034,marr
sequential,100,0.5,1,20000,0.000007,0.000003,0.0,0.001382,0.0,0.0,0.001392,marr
sequential,100,0.9,1,20000,0.000007,0.000004,0.0,0.001329,0.0,0.0,0.001340,marr
sequential,1000,0.1,1,20000,0.000009,0.000013,0.0,0.001184,0.0,0.0,0.001206,marr
sequential,1000,0.5,1,20000,0.000010,0.000013,0.0,0.001404,0.0,0.0,0.001428,marr
sequential,1000,0.9,1,20000,0.000008,0.000013,0.0,0.001502,0.0,0.0,0.001524,marr
sequential,10000,0.1,1,20000,0.000008,0.000367,0.0,0.001279,0.0,0.0,0.001654,marr
sequential,10000,0.5,1,20000,0.000151,0.000116,0.0,0.001511,0.0,0.0,0.001779,marr
sequential,10000,0.9,1,20000,0.000066,0.000272,0.0,0.001353,0.0,0.0,0.001692,marr
sequential,100,0.1,1,40000,0.000008,0.000003,0.0,0.002549,0.0,0.0,0.002561,marr
sequential,100,0.5,1,40000,0.000072,0.000003,0.0,0.002774,0.0,0.0,0.002849,marr
sequential,100,0.9,1,40000,0.000006,0.000004,0.0,0.003150,0.0,0.0,0.003160,marr
sequential,1000,0.1,1,40000,0.000008,0.000013,0.0,0.002172,0.0,0.0,0.002194,marr
sequential,1000,0.5,1,40000,0.000009,0.000013,0.0,0.003803,0.0,0.0,0.003826,marr
sequential,1000,0.9,1,40000,0.000010,0.000013,0.0,0.002928,0.0,0.0,0.002951,marr
sequential,10000,0.1,1,40000,0.000008,0.000123,0.0,0.003420,0.0,0.0,0.003551,marr
sequential,10000,0.5,1,40000,0.000009,0.000123,0.0,0.002644,0.0,0.0,0.002777,marr
sequential,10000,0.9,1,40000,0.000008,0.000123,0.0,0.002952,0.0,0.0,0.003083,marr
sequential,100,0.1,1,80000,0.000008,0.000003,0.0,0.015106,0.0,0.0,0.015118,marr
sequential,100,0.5,1,80000,0.000008,0.000003,0.0,0.005573,0.0,0.0,0.005585,marr
sequential,100,0.9,1,80000,0.000007,0.000004,0.0,0.013009,0.0,0.0,0.013021,marr
sequential,1000,0.1,1,80000,0.000011,0.000013,0.0,0.004620,0.0,0.0,0.004644,marr
sequential,1000,0.5,1,80000,0.000009,0.000016,0.0,0.005549,0.0,0.0,0.005574,marr
sequential,1000,0.9,1,80000,0.000011,0.000014,0.0,0.005852,0.0,0.0,0.005878,marr
sequential,10000,0.1,1,80000,0.000011,0.002307,0.0,0.007330,0.0,0.0,0.009648,marr
sequential,10000,0.5,1,80000,0.000008,0.000119,0.0,0.005667,0.0,0.0,0.005794,marr
sequential,10000,0.9,1,80000,0.000008,0.000120,0.0,0.005786,0.0,0.0,0.005914,marr
coarse,100,0.1,4,20000,0.000007,0.000004,0.000280,0.005377,0.000001,0.000000,0.005669,marr
coarse,100,0.5,4,20000,0.000007,0.000003,0.000380,0.002080,0.000001,0.000000,0.002471,marr
coarse,100,0.9,4,20000,0.000007,0.000004,0.000233,0.001992,0.000000,0.000001,0.002237,marr
coarse,1000,0.1,4,20000,0.000011,0.000014,0.000298,0.000877,0.000000,0.000001,0.001201,marr
coarse,1000,0.5,4,20000,0.000008,0.000076,0.000293,0.006083,0.000000,0.000001,0.006461,marr
coarse,1000,0.9,4,20000,0.000009,0.000014,0.000169,0.017936,0.000000,0.000001,0.018129,marr
coarse,10000,0.1,4,20000,0.000007,0.000124,0.000367,0.001080,0.000000,0.000000,0.001578,marr
coarse,10000,0.5,4,20000,0.000008,0.000123,0.000169,0.009738,0.000000,0.000001,0.010039,marr
coarse,10000,0.9,4,20000,0.000010,0.000250,0.000161,0.009503,0.000000,0.000000,0.009924,marr
coarse,100,0.1,4,40000,0.000007,0.000004,0.000182,0.002065,0.000001,0.000000,0.002259,marr
coarse,100,0.5,4,40000,0.000007,0.000004,0.000199,0.005891,0.000000,0.000000,0.006101,marr
coarse,100,0.9,4,40000,0.000006,0.000004,0.000190,0.008663,0.000000,0.000001,0.008864,marr
coarse,1000,0.1,4,40000,0.000010,0.000014,0.000381,0.001368,0.000000,0.000000,0.001773,marr
coarse,1000,0.5,4,40000,0.000008,0.000014,0.000181,0.008387,0.000000,0.000000,0.008590,marr
coarse,1000,0.9,4,40000,0.000010,0.000014,0.000173,0.009607,0.000000,0.000001,0.009805,marr
coarse,10000,0.1,4,40000,0.000008,0.000123,0.000341,0.003735,0.000000,0.000001,0.004208,marr
coarse,10000,0.5,4,40000,0.000009,0.000122,0.009881,0.005052,0.000000,0.000001,0.015065,marr
coarse,10000,0.9,4,40000,0.000008,0.000123,0.000263,0.003194,0.000000,0.000001,0.003589,marr
coarse,100,0.1,4,80000,0.000006,0.000004,0.000170,0.004447,0.000000,0.000000,0.004627,marr
coarse,100,0.5,4,80000,0.000011,0.000003,0.000164,0.007944,0.000000,0.000001,0.008123,marr
coarse,100,0.9,4,80000,0.000239,0.000004,0.000317,0.009702,0.000000,0.000000,0.010262,marr
coarse,1000,0.1,4,80000,0.000008,0.000013,0.000187,0.009485,0.000000,0.000000,0.009693,marr
coarse,1000,0.5,4,80000,0.000092,0.000013,0.007665,0.011811,0.000000,0.000001,0.019582,marr
coarse,1000,0.9,4,80000,0.000008,0.000013,0.000166,0.007187,0.000000,0.000000,0.007374,marr
coarse,10000,0.1,4,80000,0.000008,0.000126,0.009517,0.003109,0.000000,0.000001,0.012761,marr
coarse,10000,0.5,4,80000,0.000012,0.000126,0.007828,0.013567,0.000000,0.000000,0.021533,marr
coarse,10000,0.9,4,80000,0.000008,0.000246,0.000337,0.017932,0.000000,0.000000,0.018523,marr
coarse,100,0.1,8,20000,0.000008,0.000008,0.001190,0.026324,0.000001,0.000000,0.027531,marr
coarse,100,0.5,8,20000,0.000007,0.000004,0.000396,0.014572,0.000000,0.000000,0.014979,marr
coarse,100,0.9,8,20000,0.000007,0.000004,0.011553,0.018050,0.000000,0.000000,0.029614,marr
coarse,1000,0.1,8,20000,0.000008,0.000013,0.000475,0.001351,0.000000,0.000001,0.001848,marr
coarse,1000,0.5,8,20000,0.000007,0.000013,0.003010,0.003315,0.000000,0.000000,0.006345,marr
coarse,1000,0.9,8,20000,0.000008,0.000013,0.000612,0.001955,0.000000,0.000001,0.002589,marr
coarse,10000,0.1,8,20000,0.000008,0.000117,0.000365,0.001109,0.000000,0.000001,0.001600,marr
coarse,10000,0.5,8,20000,0.000012,0.000198,0.000694,0.001792,0.000000,0.000000,0.002696,marr
coarse,10000,0.9,8,20000,0.000009,0.000118,0.000606,0.002875,0.000000,0.000000,0.003608,marr
coarse,100,0.1,8,40000,0.000007,0.000003,0.000690,0.016517,0.000000,0.000000,0.017217,marr
coarse,100,0.5,8,40000,0.000008,0.000003,0.002275,0.012513,0.000000,0.000000,0.014799,marr
coarse,100,0.9,8,40000,0.000009,0.000004,0.000885,0.018220,0.000000,0.000000,0.019118,marr
coarse,1000,0.1,8,40000,0.000008,0.000014,0.000521,0.002137,0.000000,0.000000,0.002680,marr
coarse,1000,0.5,8,40000,0.000009,0.000014,0.000287,0.009399,0.000000,0.000001,0.009710,marr
coarse,1000,0.9,8,40000,0.000012,0.000014,0.000543,0.006832,0.000000,0.000000,0.007401,marr
coarse,10000,0.1,8,40000,0.000009,0.000122,0.000581,0.005032,0.000001,0.000000,0.005745,marr
coarse,10000,0.5,8,40000,0.000009,0.000182,0.007302,0.011069,0.000000,0.000001,0.018563,marr
coarse,10000,0.9,8,40000,0.000009,0.000124,0.001978,0.007266,0.000000,0.000001,0.009378,marr
coarse,100,0.1,8,80000,0.000008,0.000003,0.000390,0.006867,0.000000,0.000000,0.007268,marr
coarse,100,0.5,8,80000,0.000008,0.000003,0.008227,0.000921,0.000000,0.000001,0.009160,marr
coarse,100,0.9,8,80000,0.000008,0.000003,0.000417,0.013564,0.000000,0.000000,0.013992,marr
coarse,1000,0.1,8,80000,0.000010,0.000013,0.012904,0.000645,0.000000,0.000001,0.013573,marr
coarse,1000,0.5,8,80000,0.000007,0.000014,0.005465,0.011967,0.000000,0.000000,0.017453,marr
coarse,1000,0.9,8,80000,0.000008,0.000014,0.000308,0.016102,0.000000,0.000001,0.016433,marr
coarse,10000,0.1,8,80000,0.000009,0.000133,0.000809,0.014477,0.000000,0.000001,0.015429,marr
coarse,10000,0.5,8,80000,0.000014,0.000122,0.000303,0.014635,0.000000,0.000001,0.015075,marr
coarse,10000,0.9,8,80000,0.000009,0.000123,0.000444,0.049510,0.000000,0.000001,0.050087,marr
fine,100,0.1,4,20000,0.000007,0.000005,0.000169,0.001259,0.000000,0.000000,0.001440,marr
fine,100,0.5,4,20000,0.000008,0.000005,0.000198,0.001084,0.000000,0.000000,0.001295,marr
fine,100,0.9,4,20000,0.000007,0.000005,0.000358,0.000659,0.000001,0.000000,0.001030,marr
fine,1000,0.1,4,20000,0.000009,0.000023,0.000236,0.001277,0.000002,0.000001,0.001548,marr
fine,1000,0.5,4,20000,0.000008,0.000024,0.000252,0.000881,0.000002,0.000000,0.001167,marr
fine,1000,0.9,4,20000,0.000009,0.000022,0.000172,0.003424,0.000002,0.000001,0.003630,marr
fine,10000,0.1,4,20000,0.000008,0.000229,0.000163,0.000975,0.000096,0.000000,0.001471,marr
fine,10000,0.5,4,20000,0.000009,0.000238,0.000307,0.000673,0.000041,0.000000,0.001268,marr
fine,10000,0.9,4,20000,0.000009,0.000362,0.000169,0.000763,0.000041,0.000000,0.001344,marr
fine,100,0.1,4,40000,0.000007,0.000005,0.000354,0.003970,0.000000,0.000000,0.004336,marr
